Source,Name,RSS feed URLs (where available),Type,Topic,Source or Referring 2,Editorial Slant,AllSides Rating,Pew Rating,BU_Libraries_ideology_score,Facebook_paper_ideology_score,AdFontes Bias,AdFontes Bias Score,AdFontes Reliability,AdFontes Reliability Score,Associated Twitter Handle,Associated Publisher,Text Aliases,Description,Position (if explicit),wiki_url,wiki_summary_city,wiki_summary_country,Country,Region,Twitter_bio,Est number of pages
http://972mag.com/,972mag,,News Source,,Source,left,,,,,,,,,@972mag,972Mag,972mag|972 Mag|972 Magazine,,,https://en.wikipedia.org/wiki/%2B972_Magazine,Tel Aviv,Israel,Israel,MENA,,
http://israelnationalnews.com/,Arutz 7 - English,,News Source,,Source,right,,,,,,,,,@ArutzSheva_En,Arutz 7,Arutz 7|Israel National News,,,https://en.wikipedia.org/wiki/Arutz_Sheva,,,Israel,MENA,,
http://inn.co.il/,Arutz 7 - Hebrew,,News Source,,Source,right,,,,,,,,,@arutz7heb,Arutz 7,ערוץ 7,,,https://en.wikipedia.org/wiki/Arutz_Sheva,,,Israel,MENA,,
http://calcalist.co.il/,Calcalist,,News Source,,Source,center,,,,,,,,,@calcalist,Yediot,Calcalist|כלכליסט,,,https://en.wikipedia.org/wiki/Calcalist,,Israel,Israel,MENA,,
https://www.debka.com/,Debka File - English,,News Source,,Source,right,,,,,,,,,@debkafile|@debka_english,Debka File,Debka File,,,,,,Israel,MENA,,
http://debka.co.il/,Debka File - Hebrew,,News Source,,Source,right,,,,,,,,,@debka_hebrew,Debka File,תיק דבקה,,,,,,Israel,MENA,,
http://globes.co.il/,Globes,,News Source,,Source,center,,,,,,,,,@globesnews,Globes,גלובס,,,,,,Israel,MENA,,
http://en.globes.co.il,Globes - English,,News Source,,Source,center,,,,,,,,,@GlobesEnglish,Globes,,,,,,,Israel,MENA,,
http://haaretz.com/,Haaretz - English,,News Source,,Source,left-center,,,,,,,,,@haaretzcom,Haaretz,Haaretz|Ha'aretz,,,https://en.wikipedia.org/wiki/Haaretz,,Israel,Israel,MENA,,376850
http://haaretz.co.il/,Haaretz - Hebrew,,News Source,,Source,left-center,,,,,,,,,@Haaretz,Haaretz,הארץ,,,https://en.wikipedia.org/wiki/Haaretz,,Israel,Israel,MENA,,
http://israelhayom.com/,Israel Hayom - English,,News Source,,Source,right,,,,,,,,,@IsraelHayomEng,Israel Hayom,Israel Hayom|IsraelHayom,,,https://en.wikipedia.org/wiki/Israel_Hayom,,Israel,Israel,MENA,,
http://israelhayom.co.il/,Israel Hayom - Hebrew,,News Source,,Source,right,,,,,,,,,@IsraelHayomHeb,Israel Hayom,ישראל היום,,,https://en.wikipedia.org/wiki/Israel_Hayom,,Israel,Israel,MENA,,
http://gpoeng.gov.il,Israeli Government Press Office - English,,News Source,,Source,center,,,,,,,,,,Israeli Government Press Office,Israeli Government Press Office,,,,,,Israel,MENA,,
http://gpo.gov.il,Israeli Government Press Office - Hebrew,,News Source,,Source,,,,,,,,,,@GPOIsrael,Israeli Government Press Office,"לשכת האיתונות הממשלתלית|לע""ם",,,,,,Israel,MENA,,
http://jpost.com/,Jerusalem Post,,News Source,,Source,right-center,,,,,,,,,@Jerusalem_Post|@JPostOpinion,Jerusalem Post,Jerusalem Post|Jpost,,,https://en.wikipedia.org/wiki/The_Jerusalem_Post,Jerusalem,,Israel,MENA,,
http://www.jdn.co.il/,Jewish Ultra-Orthodox News,,News Source,,Source,right-center,,,,,,,,,@JDNfeed,HaModia,Jewish Ultra-Orthodox News,,,,,,Israel,MENA,,
https://www.maariv.co.il/,Maariv,,News Source,,Source,right-center,,,,,,,,,@maarivonline,Jerusalem Post,Maariv|Ma'ariv|מעריב,,,,,,Israel,MENA,,
http://makorrishon.co.il/,Makor Rishon,,News Source,,Source,right,,,,,,,,,@MakorRishon,Israel Hayom,Makor Rishon,,,https://en.wikipedia.org/wiki/Makor_Rishon,,Israel,Israel,MENA,,
https://news.walla.co.il/,Walla News,,News Source,,Source,center,,,,,,,,,@WallaNews,Jerusalem Post,Walla,,,,,,Israel,MENA,,
http://nocamels.com,Nocamels,,News Source,,Source,,,,,-0.9487,,,,,@NoCamels,Nocamels,Nocamels,,,,,,Israel,MENA,,
http://shmuelrosner.com,Shmuel Rosner,,News Source,,Source,center,,,,-0.9487,,,,,@rosnersdomain,Shmuel Rosner,Shmuel Rosner|rosnersdomain,,,https://en.wikipedia.org/wiki/Shmuel_Rosner,,United States,Israel,MENA,,
http://mekomit.co.il,Sikha Mekomit,,News Source,,Source,left,,,,,,,,,@mekomit,972Mag,sikha mekomit|שיחה מקומית,,,,,,Israel,MENA,,
http://themarker.com/,The Marker,,News Source,,Source,center,,,,,,,,,@TheMarker,Haaretz,TheMarker,,,https://en.wikipedia.org/wiki/TheMarker,,Israel,Israel,MENA,,
http://timesofisrael.com/,Times of Israel,,News Source,,Source,center,,,,,,,,,@TimesofIsrael,Times of Israel,Times of Israel,,,https://en.wikipedia.org/wiki/The_Times_of_Israel,Along,Israel,Israel,MENA,,
http://ynetnews.com/,Ynet - English,,News Source,,Source,center,,,,,,,,,@ynetnews,Yediot,Ynet|Yediot|Yedioth|ynetnews,,,https://en.wikipedia.org/wiki/Ynet,,,Israel,MENA,,409850
